State,Average_Annual_Rainfall_mm
Johor,8184.042857142857
Kedah,4631.0142857142855
Kelantan,6028.614285714286
Labuan,3531.3857142857146
Melaka,2040.9714285714285
Negeri Sembilan,1886.7028571428575
Pahang,10281.9
Perak,6364.442857142857
Perlis,1924.2571428571428
Pulau Pinang,4609.842857142858
Sabah,10671.042857142858
Sarawak,18718.35714285714
Selangor,8171.128571428571
Terengganu,3297.4857142857145
Kuala Lumpur,8171.128571428571
Putrajaya,8171.128571428571
